date,fish
1/1,salmon
1/1,cod
1/1,cod
1/1,plaice
1/1,plaice
1/2,halibut
1/2,mackerel
1/2,char
1/2,char
1/2,salmon
1/2,sole
1/2,char
1/2,halibut
1/2,sole
1/2,cod
1/3,mackerel
1/3,halibut
1/3,plaice
1/3,plaice
1/3,plaice
1/3,ahi
1/4,salmon
1/4,salmon
1/4,char
1/4,maguro
1/4,sole
1/5,cod
1/5,maguro
1/5,salmon
1/5,halibut
1/6,cod
1/6,mackerel
1/7,mackerel
1/7,sole
1/7,tilapia
1/7,plaice
1/7,char
1/8,plaice
1/8,maguro
1/9,ahi
1/9,maguro
1/9,halibut
1/9,sole
1/9,maguro
1/9,ahi
1/9,char
1/9,char
1/9,sole
1/9,cod
1/10,salmon
1/10,halibut
1/11,char
1/11,char
1/12,halibut
1/12,tilapia
1/12,sole
1/12,plaice
1/12,salmon
1/12,maguro
1/12,plaice
1/12,plaice
1/12,plaice
1/13,mackerel
1/13,sole
1/13,tilapia
1/13,cod
1/13,char
1/13,mackerel
1/13,cod
1/13,salmon
1/13,ahi
1/14,sole
1/14,mackerel
1/14,cod
1/15,mackerel
1/15,salmon
1/15,plaice
1/15,ahi
1/16,mackerel
1/16,cod
1/16,char
1/16,ahi
1/16,ahi
1/17,sole
1/17,maguro
1/17,mackerel
1/18,tilapia
1/18,char
1/18,sole
1/18,char
1/18,tilapia
1/18,ahi
1/18,cod
1/18,ahi
1/18,plaice
1/18,salmon
1/19,maguro
1/19,salmon
1/19,maguro
1/19,sole
1/19,sole
1/20,tilapia
1/20,ahi
1/20,plaice
1/20,plaice
1/20,sole
1/20,salmon
1/20,maguro
1/20,mackerel
1/20,tilapia
1/21,salmon
1/21,mackerel
1/21,halibut
1/21,cod
1/21,mackerel
1/21,char
1/21,halibut
1/21,maguro
1/21,cod
1/22,mackerel
1/22,maguro
1/22,cod
1/22,plaice
1/22,maguro
1/22,halibut
1/23,halibut
1/23,char
1/23,tilapia
1/23,ahi
1/24,cod
1/24,maguro
1/24,halibut
